299 9 
2 0 
1000
0 1  0 
0.996094 -0.577316 101111111 3 
-0.996094 -0.577316 010000000 3 
-0.890625 1 0100011 0 
-0.99707 1 01000000001 0 
-0.99707 -1 01000000001 1 
-0.99707 6.12323e-17 01000000001 2 
0.890625 1 1011100 0 
0.99707 1 10111111110 0 
0.99707 -1 10111111110 1 
0.99707 6.12323e-17 10111111110 2 
0.921875 1 1011101 0 
-0.78125 -1 010011 1 
0.78125 -1 101100 1 
-0.953125 -0.577316 0100001 3 
-0.5 -0.83924 01 5 
0.953125 -0.577316 1011110 3 
-0.999878 1 01000000000000 0 
-0.999878 -1 01000000000000 1 
0.5 -0.83924 10 5 
-0.999878 6.12323e-17 01000000000000 2 
0.999878 1 10111111111111 0 
0.999878 -1 10111111111111 1 
-1 0.870029 0 6 
0.999878 6.12323e-17 10111111111111 2 
-0.921875 -1 0100010 1 
0.921875 -1 1011101 1 
1 0.870029 1 6 
-0.96875 0.658716 010000 4 
0.96875 0.658716 101111 4 
-0.998047 -0.577316 0100000000 3 
0 0.305729  7 
0.998047 -0.577316 1011111111 3 
-0.998535 1 010000000001 0 
-0.998535 -1 010000000001 1 
0.53125 1 101000 0 
-0.998535 6.12323e-17 010000000001 2 
0.998535 1 101111111110 0 
0.998535 -1 101111111110 1 
0.59375 1 101001 0 
0.998535 6.12323e-17 101111111110 2 
-0.890625 -1 0100011 1 
0.890625 -1 1011100 1 
-0.960938 1 01000010 0 
0.625 0.658716 1010 4 
-0.625 0.658716 0101 4 
-0.976562 -0.577316 01000001 3 
-0.945312 1 01000011 0 
0.976562 -0.577316 10111110 3 
-0.999939 1 010000000000000 0 
-0.999939 -1 010000000000000 1 
0.65625 1 101010 0 
-0.999939 6.12323e-17 010000000000000 2 
0.999939 1 101111111111111 0 
0.999939 -1 101111111111111 1 
0.71875 1 101011 0 
0.999939 6.12323e-17 101111111111111 2 
-0.960938 -1 01000010 1 
-0.984375 0.658716 0100000 4 
0.945312 1 10111100 0 
0.984375 0.658716 1011111 4 
0.999023 -0.577316 10111111111 3 
-0.999023 -0.577316 01000000000 3 
0.960938 1 10111101 0 
0.960938 -1 10111101 1 
-0.999268 1 0100000000001 0 
-0.999268 -1 0100000000001 1 
-0.46875 1 011000 0 
-0.999268 6.12323e-17 0100000000001 2 
0.999268 1 1011111111110 0 
0.999268 -1 1011111111110 1 
-0.40625 1 011001 0 
0.999268 6.12323e-17 1011111111110 2 
-0.945312 -1 01000011 1 
0.945312 -1 10111100 1 
-0.34375 1 011010 0 
-0.375 6.12323e-17 0110 2 
0.375 6.12323e-17 1001 2 
-0.8125 0.658716 01001 4 
-0.28125 1 011011 0 
0.8125 0.658716 10110 4 
-0.999969 1 0100000000000000 0 
-0.999969 -1 0100000000000000 1 
-0.4375 -1 01100 1 
-0.999969 6.12323e-17 0100000000000000 2 
0.999969 1 1011111111111111 0 
0.999969 -1 1011111111111111 1 
-0.3125 -1 01101 1 
0.999969 6.12323e-17 1011111111111111 2 
-0.988281 -0.577316 010000001 3 
0.988281 -0.577316 101111110 3 
-0.21875 1 011100 0 
0.4375 -1 10011 1 
-0.6875 6.12323e-17 01010 2 
0.6875 6.12323e-17 10101 2 
-0.15625 1 011101 0 
0.992188 0.658716 10111111 4 
-0.992188 0.658716 01000000 4 
0.999512 -0.577316 101111111111 3 
-0.980469 1 010000010 0 
-0.980469 -1 010000010 1 
-0.999512 -0.577316 010000000000 3 
-0.999634 1 01000000000001 0 
-0.972656 1 010000011 0 
-0.999634 -1 01000000000001 1 
-0.999634 6.12323e-17 01000000000001 2 
0.999634 1 10111111111110 0 
-0.09375 1 011110 0 
0.999634 -1 10111111111110 1 
0.999634 6.12323e-17 10111111111110 2 
0.3125 -1 10010 1 
-0.03125 1 011111 0 
-0.972656 -1 010000011 1 
-0.125 6.12323e-17 0111 2 
0.125 6.12323e-17 1000 2 
0.972656 1 101111100 0 
0.972656 -1 101111100 1 
-0.5625 6.12323e-17 01011 2 
0.5625 6.12323e-17 10100 2 
0.980469 1 101111101 0 
0.980469 -1 101111101 1 
-0.71875 -1 010100 1 
0.71875 -1 101011 1 
-0.1875 -1 01110 1 
-0.90625 0.658716 010001 4 
0.90625 0.658716 101110 4 
-0.999985 1 01000000000000000 0 
-0.0625 -1 01111 1 
-0.999985 -1 01000000000000000 1 
-0.999985 6.12323e-17 01000000000000000 2 
0.999985 1 10111111111111111 0 
0.03125 1 100000 0 
0.999985 -1 10111111111111111 1 
0.999985 6.12323e-17 10111111111111111 2 
-0.994141 -0.577316 0100000001 3 
0.09375 1 100001 0 
0.994141 -0.577316 1011111110 3 
-0.84375 6.12323e-17 010010 2 
0.84375 6.12323e-17 101101 2 
0.15625 1 100010 0 
-0.65625 -1 010101 1 
0.65625 -1 101010 1 
0.996094 0.658716 101111111 4 
0.21875 1 100011 0 
-0.996094 0.658716 010000000 4 
-0.999756 -0.577316 0100000000000 3 
